종목코드,종목명,자산운용사,시장,1년 수익률(%),총보수(%)
381170,TIGER 미국테크TOP10 INDXX,미래에셋자산운용,기타,11.45,-
069500,KODEX 200,삼성자산운용,KOSPI,10.54,-
379800,KODEX 미국S&P500,삼성자산운용,기타,9.76,-
133690,TIGER 미국나스닥100,미래에셋자산운용,기타,9.51,-
360750,TIGER 미국S&P500,미래에셋자산운용,기타,8.57,-
273130,KODEX 종합채권(AA-이상)액티브,삼성자산운용,기타,6.1,-
449170,TIGER KOFR금리액티브(합성),미래에셋자산운용,기타,3.19,-
459580,KODEX CD금리액티브(합성),삼성자산운용,기타,3.18,-
423160,KODEX KOFR금리액티브(합성),삼성자산운용,기타,3.18,-
357870,TIGER CD금리투자KIS(합성),미래에셋자산운용,기타,3.13,-
488770,KODEX 머니마켓액티브,삼성자산운용,기타,3.09,-
